Title,Year,Genre,Director,Lead_Actor,Budget_INR,BoxOffice_INR,IMDb_Rating,TMDB_Rating,BoxOfficeMojo_Score,Duration_Minutes,Language,Production_House,Release_Month,Certification
Article 15,2024,Adventure,Meghna Gulzar,Vijay,160000000,432358108.2,1.7,5.9,53.63,146,Hindi,Production House 142,June,A
Pushpa,2014,Comedy,Mani Ratnam,Sushant Singh Rajput,11000000,6052398.082,9.2,4.8,64.43,96,Tamil,Production House 404,April,U
Sooryavanshi,1997,Comedy,Sanjay Leela Bhansali,Hrithik Roshan,38000000,134550420,1,3.2,9.97,120,Hindi,Production House 426,May,U/A
Andhadhun,2021,Action,Anurag Kashyap,Nawazuddin Siddiqui,188000000,817826861.8,7.3,8.6,54.8,149,Hindi,Production House 237,October,U
War,1984,Action,Neeraj Pandey,Ayushmann Khurrana,142000000,522607830.2,6.7,3.9,45.13,145,Hindi,Production House 369,March,U
ZNMD,2006,Action,Mani Ratnam,Sushant Singh Rajput,116000000,485036804.4,5.5,8.4,51.3,121,Hindi,Production House 449,April,U/A
Barfi,1985,Adventure,S. S. Rajamouli,Salman Khan,61000000,207090352.8,9.8,9,33.77,150,Hindi,Production House 87,October,U
Sholay,2011,Action,Vetrimaaran,Irrfan Khan,179000000,498184146.2,2.8,1.5,46.82,150,Tamil,Production House 318,October,U
Tanu Weds Manu,1987,Sci-Fi,Lokesh Kanagaraj,Pankaj Tripathi,31000000,46053512.82,8.1,5.6,88.32,165,Hindi,Production House 58,January,U/A
Singham,2018,Adventure,Rajkumar Hirani,Amitabh Bachchan,43000000,75607698.28,7.1,4.8,34.49,153,Hindi,Production House 232,June,U/A
Tanu Weds Manu,2000,Horror,Anurag Kashyap,Allu Arjun,154000000,297171646.6,9.8,4.5,4.49,99,Telugu,Production House 400,May,A
Gully Boy,1997,Horror,Kabir Khan,Ayushmann Khurrana,123000000,82542780.05,9.4,4.3,25.65,115,Hindi,Production House 429,May,U/A
Queen,1993,Drama,Neeraj Pandey,Amitabh Bachchan,151000000,695943820.2,2.2,5.8,45.44,158,Hindi,Production House 423,December,A
Jawan,1994,Comedy,Neeraj Pandey,Aamir Khan,104000000,473341664.8,3.8,2.2,53.35,176,Hindi,Production House 403,April,U/A
Sooryavanshi,2021,Sci-Fi,S. S. Rajamouli,Ranveer Singh,13000000,12805004.2,8.7,8.8,42.71,162,Telugu,Production House 392,September,U
Swades,2005,Comedy,Vetrimaaran,Vicky Kaushal,151000000,453773277.8,3.1,6,82.66,126,Tamil,Production House 253,November,U
Pathaan,2023,Romance,Rohit Shetty,Amitabh Bachchan,6000000,15626314.94,4.4,4.1,91.52,119,Hindi,Production House 152,November,U/A
DDLJ,2011,Comedy,Meghna Gulzar,Allu Arjun,96000000,343234846.7,6.6,3.2,48.68,91,Hindi,Production House 373,September,A
Pushpa,2018,Comedy,Kabir Khan,Nawazuddin Siddiqui,193000000,620220838.2,6.1,6.5,7.59,131,Hindi,Production House 236,May,U/A
Padmaavat,2007,Thriller,Anurag Kashyap,Aamir Khan,63000000,66745230.63,6.8,8.1,42.1,157,Hindi,Production House 248,July,A
Jawan,2018,Thriller,S. S. Rajamouli,Vicky Kaushal,75000000,260276205.2,7.4,5,18.12,179,Telugu,Production House 16,March,U/A
Drishyam,2022,Sci-Fi,Shoojit Sircar,Amitabh Bachchan,74000000,239754477.2,7.6,9.9,28.35,124,Hindi,Production House 397,January,A
Kantara,2011,Romance,Neeraj Pandey,Irrfan Khan,165000000,476933551.2,7.6,5.8,83.29,99,Hindi,Production House 114,January,U/A
Sooryavanshi,1992,Action,Sanjay Leela Bhansali,Kartik Aaryan,197000000,455233155.3,9.9,9.8,53.53,120,Hindi,Production House 414,March,U
KGF,1994,Romance,Rohit Shetty,Sushant Singh Rajput,29000000,139117189.7,4.2,9.7,82.86,168,Hindi,Production House 141,March,A
Chak De India,1997,Romance,Neeraj Pandey,Ayushmann Khurrana,74000000,319863373.9,1.4,6.4,98.56,174,Hindi,Production House 213,May,A
Barfi,2018,Drama,Anurag Kashyap,Irrfan Khan,160000000,501261181.9,4.1,6.2,54.52,95,Hindi,Production House 339,August,U
Dangal,1985,Horror,Karan Johar,Ayushmann Khurrana,150000000,79305032.06,9.2,2,91.23,154,Hindi,Production House 155,June,U/A
Gully Boy,1990,Comedy,Neeraj Pandey,Kartik Aaryan,67000000,163785157.5,1.8,9.4,68.35,163,Hindi,Production House 422,August,U/A
Lagaan,2011,Drama,Zoya Akhtar,Ajay Devgn,53000000,193531025.3,6.8,8.2,10.18,91,Hindi,Production House 492,July,U/A
Tanu Weds Manu,2019,Sci-Fi,Karan Johar,Allu Arjun,127000000,130533655.2,4.8,5.5,41.79,98,Hindi,Production House 38,January,U/A
Bajrangi Bhaijaan,1999,Horror,Vetrimaaran,Sushant Singh Rajput,128000000,298172579.1,9.3,3.8,65.89,170,Hindi,Production House 179,October,A
KGF,2012,Sci-Fi,Neeraj Pandey,Ajay Devgn,198000000,269827174.5,9.4,8.5,70.53,169,Hindi,Production House 151,August,U/A
Lagaan,2019,Comedy,Imtiaz Ali,Rajkummar Rao,44000000,88952311.46,8.1,3.6,86.07,155,Hindi,Production House 144,January,U/A
Chak De India,1987,Sci-Fi,Kabir Khan,Sushant Singh Rajput,89000000,55181016.21,1.9,5.9,63.73,169,Hindi,Production House 46,May,U
Kantara,2014,Romance,Neeraj Pandey,Ajay Devgn,91000000,97396910.54,1.2,2.8,9.01,148,Hindi,Production House 216,March,U
Pushpa,1984,Adventure,Rajkumar Hirani,Shah Rukh Khan,198000000,504188353.5,2.2,8.2,14.24,102,Hindi,Production House 428,July,A
Padmaavat,2014,Comedy,Vetrimaaran,Hrithik Roshan,84000000,381515790.2,3.9,7.8,32.83,95,Hindi,Production House 114,May,A
KGF,1993,Action,Imtiaz Ali,Rajkummar Rao,8000000,21660938.38,3.2,3.6,29.4,114,Hindi,Production House 208,February,U
Jawan,2000,Action,Anurag Kashyap,Shah Rukh Khan,38000000,96476247.15,4.3,2.1,22.16,152,Hindi,Production House 433,January,U/A
DDLJ,2003,Romance,Sanjay Leela Bhansali,Nawazuddin Siddiqui,9000000,36396560.42,2.3,2.6,61.73,148,Hindi,Production House 400,October,A
Kahaani,1996,Sci-Fi,Karan Johar,Ayushmann Khurrana,154000000,262606243.3,7.8,6.5,42.97,179,Hindi,Production House 267,June,U
Tanu Weds Manu,1997,Thriller,Shoojit Sircar,Akshay Kumar,152000000,141027024.5,8.6,2.4,68.5,135,Hindi,Production House 410,June,U
Sholay,2013,Action,Rohit Shetty,Prabhas,107000000,154409216.7,5.4,3.9,38.7,104,Hindi,Production House 464,August,U
RRR,1991,Romance,S. S. Rajamouli,Pankaj Tripathi,179000000,726892824.2,9.6,8.6,27.41,155,Telugu,Production House 233,September,A
PK,1995,Drama,Sanjay Leela Bhansali,Ayushmann Khurrana,38000000,134775195.2,2.1,1.7,55.05,175,Hindi,Production House 15,February,A
Drishyam,1983,Thriller,Imtiaz Ali,Salman Khan,176000000,160494280.3,2,6.2,9.68,131,Hindi,Production House 186,May,U/A
War,2004,Action,Rohit Shetty,Salman Khan,10000000,35019192.21,2.8,4.6,98.87,106,Hindi,Production House 338,May,A
Barfi,2013,Adventure,Karan Johar,Shah Rukh Khan,188000000,882092556.2,9.8,2.1,65.56,112,Hindi,Production House 360,October,U
Andhadhun,2007,Romance,Shoojit Sircar,Ranbir Kapoor,33000000,23175810.97,4.7,5.6,12.22,104,Hindi,Production House 18,August,U/A
Article 15,1990,Romance,Zoya Akhtar,Vicky Kaushal,57000000,186611241.6,9.3,5.6,62.24,127,Hindi,Production House 250,September,U/A
Swades,1992,Drama,Zoya Akhtar,Hrithik Roshan,5000000,11031202.82,2.8,4.4,7.44,145,Hindi,Production House 227,May,A
Tanu Weds Manu,2010,Adventure,Kabir Khan,Rajkummar Rao,63000000,173542418.6,8.6,1.5,50.62,123,Hindi,Production House 197,May,A
Gully Boy,2004,Drama,Shoojit Sircar,Hrithik Roshan,180000000,517824840.9,3.8,2.9,29.09,154,Hindi,Production House 322,March,A
RRR,2018,Thriller,Rohit Shetty,Rajkummar Rao,11000000,43666781.82,7.6,4.6,70.08,169,Hindi,Production House 286,June,A
Singham,1989,Horror,Anurag Kashyap,Ayushmann Khurrana,164000000,493075239.6,9.8,3.5,48.71,178,Hindi,Production House 159,July,U/A
Tanu Weds Manu,2003,Action,Rohit Shetty,Nawazuddin Siddiqui,82000000,259848596.8,9.4,2.4,78.59,176,Hindi,Production House 153,March,U
Sooryavanshi,1980,Romance,Lokesh Kanagaraj,Aamir Khan,193000000,385633936.3,8.5,5.4,22.98,123,Tamil,Production House 363,February,U/A
Bajrangi Bhaijaan,2004,Thriller,Vetrimaaran,Shah Rukh Khan,189000000,201616475.8,1.5,4.6,65.62,162,Hindi,Production House 351,December,U
Andhadhun,2007,Sci-Fi,Mani Ratnam,Kartik Aaryan,55000000,196476252.5,6.5,7,68.78,105,Tamil,Production House 467,February,U
Baahubali,2015,Thriller,Kabir Khan,Ranbir Kapoor,151000000,75827614.46,8.5,6,47.75,139,Hindi,Production House 482,September,A
Article 15,1997,Sci-Fi,Neeraj Pandey,Salman Khan,31000000,61356045.14,4.6,2.5,85.83,158,Hindi,Production House 210,June,U
Article 15,1985,Drama,Rohit Shetty,Nawazuddin Siddiqui,67000000,99240252.26,7.6,7.2,14.66,131,Hindi,Production House 487,February,U/A
Queen,1981,Romance,Mani Ratnam,Ayushmann Khurrana,192000000,431692892.8,2.2,5.2,75.84,151,Tamil,Production House 448,May,A
Jawan,1982,Comedy,Anurag Kashyap,Salman Khan,65000000,123545897.9,2.6,2,13.2,101,Hindi,Production House 496,July,U/A
Bajrangi Bhaijaan,1987,Horror,Sanjay Leela Bhansali,Shah Rukh Khan,65000000,238483495.8,6.8,1.2,15.69,158,Hindi,Production House 417,January,U/A
Kahaani,2010,Horror,Karan Johar,Salman Khan,130000000,217220539.6,4.9,6.6,20.15,176,Hindi,Production House 493,November,A
War,1998,Drama,Rohit Shetty,Ranbir Kapoor,49000000,148145451.2,3,6.6,66.11,161,Hindi,Production House 131,August,U
DDLJ,1985,Sci-Fi,S. S. Rajamouli,Sushant Singh Rajput,153000000,390297941.1,3.5,8.4,63.9,169,Telugu,Production House 18,November,U/A
RRR,1993,Romance,Karan Johar,Irrfan Khan,176000000,722437544.2,6.6,7.9,44.59,173,Hindi,Production House 356,June,U
Bajrangi Bhaijaan,1982,Adventure,Imtiaz Ali,Salman Khan,133000000,322713354,7.5,8.9,31.45,117,Hindi,Production House 436,January,U
Padmaavat,1980,Thriller,Zoya Akhtar,Shah Rukh Khan,99000000,434356792.7,2.9,3.6,61.28,119,Hindi,Production House 346,August,U/A
Andhadhun,2023,Horror,Vetrimaaran,Ranbir Kapoor,95000000,47562315.65,9.6,4.7,14.42,164,Tamil,Production House 348,May,U
Gully Boy,2009,Thriller,Zoya Akhtar,Irrfan Khan,48000000,154644652.7,1.1,1.6,62.87,139,Hindi,Production House 288,July,A
Article 15,1998,Action,Anurag Kashyap,Hrithik Roshan,66000000,35912677.08,7.3,4.7,1.2,106,Hindi,Production House 49,October,U/A
Kahaani,1998,Comedy,Imtiaz Ali,Rajkummar Rao,65000000,241325789.6,3.6,3,14.45,99,Hindi,Production House 165,April,U/A
Lagaan,1988,Drama,Zoya Akhtar,Sushant Singh Rajput,83000000,129243517.1,5.3,8.2,70.79,177,Hindi,Production House 71,February,U
ZNMD,1986,Sci-Fi,Kabir Khan,Sushant Singh Rajput,93000000,205522153.9,6.1,6.9,87.4,100,Hindi,Production House 284,December,U/A
KGF,2016,Horror,Anurag Kashyap,Vicky Kaushal,116000000,256588382.5,6.1,8,7.56,136,Hindi,Production House 32,August,U
ZNMD,2020,Adventure,Mani Ratnam,Ajay Devgn,115000000,495523601.5,8,6.3,63.88,97,Hindi,Production House 169,April,U
War,1986,Action,Rohit Shetty,Prabhas,54000000,51808540.9,8.4,6.4,6.19,120,Telugu,Production House 420,August,U/A
Gully Boy,1988,Adventure,Mani Ratnam,Hrithik Roshan,45000000,157546633.1,1.7,3.1,87.9,126,Tamil,Production House 86,September,U/A
Queen,1983,Action,Imtiaz Ali,Pankaj Tripathi,37000000,181879262.1,7.3,7,39.17,122,Hindi,Production House 393,November,U/A
Dangal,2004,Comedy,Kabir Khan,Vijay,16000000,9611678.898,4.6,2.3,74.12,98,Hindi,Production House 273,April,U/A
PK,1991,Drama,Neeraj Pandey,Amitabh Bachchan,6000000,29079143.37,8.4,3.5,17.28,135,Hindi,Production House 10,August,U
KGF,1985,Drama,Neeraj Pandey,Ranbir Kapoor,111000000,64693162.11,6.5,2.6,86.14,92,Hindi,Production House 347,April,U
Queen,1997,Thriller,Mani Ratnam,Hrithik Roshan,153000000,655631402.1,1.1,9.5,42.92,102,Hindi,Production House 17,August,U
Barfi,2019,Drama,Neeraj Pandey,Ajay Devgn,146000000,704537583.7,7,9.1,20.89,117,Hindi,Production House 352,January,A
DDLJ,2000,Action,Mani Ratnam,Sushant Singh Rajput,38000000,188807682.4,9.3,8.9,57.24,141,Hindi,Production House 56,February,U
Dangal,1994,Thriller,Sanjay Leela Bhansali,Akshay Kumar,89000000,228378097.1,1.7,9.6,28.82,150,Hindi,Production House 492,December,U
Baahubali,1982,Drama,Neeraj Pandey,Amitabh Bachchan,196000000,862656520.5,5.4,6.5,28.71,113,Hindi,Production House 234,December,A
Lagaan,1981,Sci-Fi,Imtiaz Ali,Ajay Devgn,155000000,162831831.3,6.6,9.1,11.45,99,Hindi,Production House 139,October,U/A
Kahaani,2020,Sci-Fi,Vetrimaaran,Hrithik Roshan,89000000,214866427.6,2.8,3.6,21.39,131,Tamil,Production House 301,March,U/A
Queen,2019,Comedy,Rajkumar Hirani,Prabhas,54000000,101837919.2,6.9,4.5,79.79,126,Hindi,Production House 345,February,U
Sholay,1983,Action,Zoya Akhtar,Aamir Khan,146000000,332631322.2,1.4,5.2,52.36,104,Hindi,Production House 127,October,U
Pathaan,2011,Romance,Neeraj Pandey,Vicky Kaushal,110000000,402480521.9,9.2,1.8,35.49,117,Hindi,Production House 17,August,A
Drishyam,1981,Comedy,Imtiaz Ali,Ajay Devgn,50000000,44683045.01,7.9,8.4,92.94,126,Hindi,Production House 192,October,U
Queen,2008,Comedy,Lokesh Kanagaraj,Ranveer Singh,122000000,608992014.2,9.5,2.1,79.74,154,Hindi,Production House 475,December,U/A
Pathaan,1981,Drama,Kabir Khan,Nawazuddin Siddiqui,9000000,30220219.94,4.8,8.2,31.03,102,Hindi,Production House 122,November,U/A
Padmaavat,2013,Thriller,Meghna Gulzar,Nawazuddin Siddiqui,70000000,310158039.8,1.3,9.3,11.07,148,Hindi,Production House 55,September,U
Baahubali,2006,Adventure,Kabir Khan,Vijay,154000000,651979026.7,4.1,6.1,18.43,157,Tamil,Production House 207,September,U
Chak De India,2018,Thriller,Lokesh Kanagaraj,Akshay Kumar,74000000,292077182.2,5.6,2.5,67.52,145,Hindi,Production House 261,January,A
Article 15,2023,Sci-Fi,Lokesh Kanagaraj,Hrithik Roshan,112000000,75768659.69,9.4,4.9,56.31,119,Tamil,Production House 107,September,A
Kantara,2017,Action,Rohit Shetty,Shah Rukh Khan,6000000,16944611.07,8.9,2.2,98.08,153,Hindi,Production House 120,August,U
Dangal,1997,Drama,Kabir Khan,Shah Rukh Khan,33000000,65230033.87,6.3,2.1,1.35,156,Hindi,Production House 333,August,A
Jawan,2015,Thriller,Sanjay Leela Bhansali,Vijay,65000000,65534691.38,7.6,7.8,87.68,109,Tamil,Production House 251,March,U/A
Baahubali,1998,Sci-Fi,Karan Johar,Ajay Devgn,104000000,212519416.6,9.6,4.5,1.43,116,Hindi,Production House 326,August,U/A
RRR,2006,Horror,Mani Ratnam,Rajkummar Rao,132000000,449013004.2,8.7,1,42.48,101,Tamil,Production House 42,February,A
RRR,2024,Adventure,Anurag Kashyap,Salman Khan,148000000,227597201.5,6.9,1.4,91.66,130,Hindi,Production House 212,February,U/A
DDLJ,1999,Romance,Meghna Gulzar,Hrithik Roshan,196000000,490133168.6,5.9,8.4,65.84,169,Hindi,Production House 323,April,U/A
Gully Boy,2000,Horror,Kabir Khan,Ranveer Singh,101000000,234342633.7,5.3,6.6,58.33,140,Hindi,Production House 348,July,U/A
Tanu Weds Manu,2002,Adventure,Meghna Gulzar,Ayushmann Khurrana,101000000,74344416.6,7.8,8.6,31.35,169,Hindi,Production House 131,December,U/A
Gully Boy,2009,Drama,Sanjay Leela Bhansali,Rajkummar Rao,18000000,59874684.88,8.3,3.5,96.61,118,Hindi,Production House 97,April,A
Padmaavat,2004,Drama,Anurag Kashyap,Ranbir Kapoor,47000000,154386119.8,3,3.8,16.82,140,Hindi,Production House 322,February,U/A
RRR,2010,Thriller,Sanjay Leela Bhansali,Shah Rukh Khan,175000000,848551422.9,5.3,6.6,26.99,148,Hindi,Production House 485,May,U
KGF,2006,Adventure,Neeraj Pandey,Prabhas,74000000,136235737.1,7.9,7,45.3,177,Telugu,Production House 444,August,A
KGF,2013,Comedy,Karan Johar,Vicky Kaushal,59000000,140731498.1,7.1,1.2,12.63,120,Hindi,Production House 285,July,A
Swades,1987,Drama,Anurag Kashyap,Nawazuddin Siddiqui,35000000,81072925.52,6.3,9.2,42.35,98,Hindi,Production House 462,July,U/A
RRR,1998,Comedy,Imtiaz Ali,Sushant Singh Rajput,80000000,371107804.4,3.9,8.2,3.93,159,Hindi,Production House 391,September,U
Kantara,2020,Action,Kabir Khan,Rajkummar Rao,172000000,402294570.1,6.5,2.2,92.41,119,Hindi,Production House 108,December,U/A
Baahubali,2005,Sci-Fi,Vetrimaaran,Vijay,159000000,396297745.2,6.5,1.1,32.21,179,Tamil,Production House 132,May,U/A
RRR,2007,Action,Kabir Khan,Pankaj Tripathi,56000000,91590822.62,4.9,7.9,63.38,129,Hindi,Production House 178,April,A
Andhadhun,1983,Adventure,Zoya Akhtar,Pankaj Tripathi,132000000,66693878.98,9.6,9.1,87.05,96,Hindi,Production House 277,October,U/A
Andhadhun,2010,Adventure,Sanjay Leela Bhansali,Vijay,11000000,10967308.23,6.9,3.9,81.83,161,Hindi,Production House 217,November,U
Kantara,1995,Thriller,Karan Johar,Nawazuddin Siddiqui,178000000,652815210.3,8.7,3.9,87.34,148,Hindi,Production House 393,December,A
Tanu Weds Manu,1989,Action,Rohit Shetty,Hrithik Roshan,104000000,371407937.7,2.2,5.6,72.03,100,Hindi,Production House 188,September,U
Kantara,2017,Horror,Lokesh Kanagaraj,Aamir Khan,165000000,321978950.3,7.8,7.1,19.37,92,Tamil,Production House 460,November,U/A
Chak De India,1989,Adventure,Rajkumar Hirani,Salman Khan,140000000,367993923.5,6.4,6.8,36.65,93,Hindi,Production House 12,November,U/A
Lagaan,2024,Horror,Rohit Shetty,Pankaj Tripathi,137000000,251833779.5,3.8,7.8,51.2,109,Hindi,Production House 312,November,U
Dangal,1988,Horror,Rajkumar Hirani,Ranbir Kapoor,65000000,246293043.7,2.2,2,33.7,94,Hindi,Production House 5,January,U
ZNMD,2018,Thriller,Lokesh Kanagaraj,Pankaj Tripathi,108000000,463454684.2,4.4,5.7,95.52,123,Tamil,Production House 447,June,U/A
Drishyam,2015,Thriller,Vetrimaaran,Pankaj Tripathi,192000000,872826972.9,5,5.6,80.68,103,Hindi,Production House 477,November,U/A
Pushpa,2015,Horror,Shoojit Sircar,Pankaj Tripathi,156000000,200057667.6,2.3,9.5,79.9,102,Hindi,Production House 283,March,U/A
Bajrangi Bhaijaan,1998,Comedy,Imtiaz Ali,Aamir Khan,11000000,39903328.72,7,9.3,36.11,150,Hindi,Production House 103,June,A
Pathaan,1998,Horror,Shoojit Sircar,Aamir Khan,193000000,932869562.1,3.8,7.8,75.48,138,Hindi,Production House 177,July,U
Drishyam,1991,Comedy,Lokesh Kanagaraj,Ranbir Kapoor,87000000,298214482.2,8.3,8.9,61.41,134,Hindi,Production House 276,January,A
Padmaavat,1992,Action,Sanjay Leela Bhansali,Shah Rukh Khan,99000000,205858981,6.8,7.7,37.52,142,Hindi,Production House 128,June,U
Pathaan,2004,Comedy,Vetrimaaran,Shah Rukh Khan,168000000,564775452.5,3.8,7.5,30.83,113,Tamil,Production House 285,August,U/A
KGF,2015,Adventure,Sanjay Leela Bhansali,Prabhas,31000000,111535434.3,4.2,2.9,78.88,152,Telugu,Production House 247,May,U/A
PK,2004,Drama,Mani Ratnam,Aamir Khan,128000000,292699244.7,9.5,6.6,59.68,164,Tamil,Production House 211,May,U/A
Lagaan,2007,Romance,Kabir Khan,Nawazuddin Siddiqui,161000000,155841443.7,9.5,9.2,3.7,98,Hindi,Production House 292,July,U/A
Bajrangi Bhaijaan,2021,Drama,Rajkumar Hirani,Ranveer Singh,91000000,293927215.7,4.8,7.8,2.17,152,Hindi,Production House 97,August,U
Lagaan,2018,Drama,Anurag Kashyap,Amitabh Bachchan,152000000,624664307.6,7.1,6.4,84.2,145,Hindi,Production House 136,July,U/A
ZNMD,2009,Thriller,S. S. Rajamouli,Akshay Kumar,74000000,369192969.1,9.8,3.3,8.98,166,Hindi,Production House 158,March,U
War,1984,Romance,Karan Johar,Pankaj Tripathi,118000000,177443961,9.9,7.1,51.94,166,Hindi,Production House 189,June,A
Tanu Weds Manu,1996,Thriller,Neeraj Pandey,Ranveer Singh,80000000,292140030.7,1.6,4.1,60.87,160,Hindi,Production House 252,September,U/A
DDLJ,1997,Comedy,Meghna Gulzar,Ranbir Kapoor,118000000,73890939.29,6,1.6,91.6,164,Hindi,Production House 354,February,A
DDLJ,2022,Horror,Sanjay Leela Bhansali,Vijay,7000000,34049496.31,7.5,3.2,51.45,131,Tamil,Production House 351,September,U
Padmaavat,2000,Sci-Fi,Shoojit Sircar,Aamir Khan,171000000,95168353.14,2.7,4.5,19.4,90,Hindi,Production House 385,March,U
KGF,2001,Sci-Fi,Shoojit Sircar,Ranveer Singh,103000000,217801464.7,8.4,10,26.07,153,Hindi,Production House 419,March,U
